,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-213.4279077,48.15205728,20.44464087,37.47416906,12.66080508,10.23865593,4.095263563,1.178010542,-6.253102428,-12.0979732,-10.29666265,-10.92419419,-2.510607284,-8.930805238,-7.942390212,-3.148482686,-9.605107608,-7.954151562,-5.400065371,-7.001378349
11,-350.3002319,77.32567596,16.54762459,66.14428711,6.619801521,17.03109169,-1.088940382,4.682977676,-16.26489449,-17.63270378,-13.39436245,-13.41921329,1.816279411,-17.30190849,-5.590406895,-6.434604168,-12.69087696,-8.320857048,-8.681739807,-9.494630814
12,-335.7659607,111.4538116,2.840392113,0.374991804,-4.24631834,9.692831993,-10.8631897,2.374213219,-4.808177471,-8.269331932,-13.57159519,-10.63540173,3.350757122,-4.420649052,-1.993697286,-10.8609848,-4.739672661,-3.648062229,-7.346182346,-5.294987202
13,-111.7111211,29.33481382,10.19355695,2.797681901,-0.410657485,-0.749848688,-1.922237471,0.213891849,-1.661649777,-6.118556934,-9.171666697,-6.436551248,-1.117533062,-1.94350922,-2.7031667,-4.805907111,-4.755510669,-4.143240491,-4.855806168,-3.861601146
14,-382.0318909,117.9947586,-1.040228963,-3.073282957,-4.427824974,7.782448292,-12.16293812,3.777456284,-6.927052021,-9.850367546,-16.50023651,-6.529945374,2.730873585,-5.546321392,-3.174188852,-11.83506584,-2.794260025,-6.266786098,-6.918076515,-5.169385433
15,-212.2621307,113.4290085,-26.42326355,40.92773056,-38.68867111,-4.960420609,-21.05723572,-15.05587578,-23.72020149,-23.44452286,-0.710362017,-15.74367428,-6.599895477,-6.830634594,-3.839433908,1.039247274,-2.806627035,-3.375756264,6.63205862,-1.133059978
16,-88.33204089,44.25921815,1.868837987,14.99181384,-11.69892513,-11.94380045,-12.55454563,-13.47325777,-15.85100626,-15.59583017,-4.906579309,-8.946455934,-5.84225608,-4.260013469,-4.015887146,0.789093819,-2.777616448,-0.471402289,3.263329064,0.935832527
17,-262.686676,103.6935654,-28.26808739,37.29475403,-41.04678726,-4.598888874,-24.46745491,-15.06970978,-26.5067482,-18.40842628,-1.17005527,-16.95557022,-3.263442516,-6.61221838,-3.762725353,0.40715456,-3.627116203,0.398697019,5.62286377,-4.349121571
18,-225.6631012,107.8163452,-22.31105995,61.66352463,-21.43513489,4.901125431,-22.39754868,-22.65543938,-31.6063633,-13.67730713,-1.695410132,-5.092224598,-6.597755909,-3.264920473,-6.666153908,-14.72097206,6.048761845,-10.40977669,1.247496486,-1.758065939
19,-190.2092873,75.70977795,0.151375862,37.70165352,-8.299892086,-2.728159588,-14.18311003,-22.91652681,-28.11310508,-16.86759662,-2.821016016,-4.388720453,-5.825903301,-1.516353949,-7.88115544,-11.47889104,2.305618862,-7.052346247,-0.729251595,-0.260663206
